RespondantID,Sex,BD_Month,BD_Year,Race_Ethnicity,HGA_Dad,HGA_Mom,SampleType,ResponseParent_Income,NonResponseParent_Income,ResponseParent_Relation,Age,Region,FamilyIncome,HighestDegree,MaritalStatus,EmploymentStatus,YearIncome,Arrests_SLI,GeneralHealth,Depression,Breadwinner,Time1_Income
1841,2,11,1984,1,18,18,1,26909,24304,1,34,2,193600,4,0,1,18600,NA,1,2,0,51213
1853,1,5,1981,1,16,20,1,40000,20000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,60000
1855,2,8,1980,4,12,13,1,18000,20000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,38000
1858,2,9,1981,4,20,20,1,190777,80000,1,38,4,280000,7,0,1,170000,NA,2,0,0,270777
1862,2,10,1984,4,16,18,1,75000,10000,2,34,2,NA,7,1,1,328451,NA,1,0,1,85000
1864,2,4,1981,4,17,18,1,80000,40000,2,38,2,169600,4,1,1,70000,NA,3,0,1,120000
1867,1,9,1982,3,13,14,1,26000,30,1,37,2,60000,3,0,1,NA,NA,1,0,0,26030
1868,1,11,1984,3,13,14,1,26000,30000,1,35,2,140000,4,1,1,60000,NA,3,0,1,56000
1869,1,5,1983,3,14,12,1,20000,30000,2,36,3,NA,1,1,1,32000,NA,2,2,0,50000
1870,2,8,1984,3,14,12,1,20000,30000,2,35,2,40000,2,0,1,40000,NA,2,0,0,50000
1873,1,3,1980,4,12,11,1,9000,50000,1,39,2,123000,2,1,1,60000,NA,3,0,1,59000
1874,2,6,1982,4,12,11,1,9000,50000,1,37,2,150000,3,1,1,80000,NA,2,0,1,59000
1877,2,10,1981,4,12,12,1,10000,24000,1,38,2,33000,0,1,0,NA,NA,3,3,1,34000
1878,1,8,1984,4,12,12,1,10000,24000,1,35,2,112500,2,3,1,NA,NA,3,0,1,34000
1882,1,1,1981,4,17,13,1,45000,7000,2,38,2,NA,3,1,1,20000,NA,3,2,1,52000
1883,2,6,1984,4,17,13,1,45000,7000,2,35,2,65000,2,1,0,NA,NA,3,0,1,52000
1884,2,4,1980,4,17,17,1,44000,60000,1,39,2,NA,7,3,1,135000,NA,1,0,1,104000
1885,1,4,1983,4,17,17,1,31200,63000,1,36,4,NA,5,1,1,328451,NA,3,0,1,94200
1886,1,2,1984,4,13,13,1,39887,9743,1,35,2,90000,2,0,1,90000,NA,2,0,0,49630
1887,1,6,1984,4,20,20,1,90000,45000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,135000
1888,1,2,1984,4,10,10,1,18000,38651,1,36,2,85000,2,1,1,38000,NA,2,0,1,56651
1893,2,6,1982,4,12,12,1,38000,10000,1,37,2,93600,4,1,1,41600,NA,2,2,0,48000
